road,place,latitude,longitude,clusterid
Byres Road,Glasgow,55.872397,-4.297062,1159
Byres Road,Glasgow,55.872593,-4.296642,1160
Byres Road,Glasgow,55.87203,-4.297367,1161
White Street,Glasgow,55.872277,-4.29761,1162
Chancellor Street,Glasgow,55.871703,-4.298294,1163
Dalcross Street,Glasgow,55.871147,-4.29893,1164
White Street,Glasgow,55.872432,-4.299289,1165
White Street,Glasgow,55.872561,-4.300353,1166
Lawrence Street,Glasgow,55.873218,-4.300034,1167
Partickhill Rd,Glasgow,55.873859,-4.302092,1168
Chancellor Street,Glasgow,55.872246,-4.302411,1169
Chancellor Street,Glasgow,55.872221,-4.304377,1170
North Gardner Street,Glasgow,55.874228,-4.305859,1171
White Street,Glasgow,55.872869,-4.306567,1172
Gardner St,Glasgow,55.871475,-4.305883,1173
Burgh Hall St,Glasgow,55.871459,-4.308663,1174
Hayburn St,Glasgow,55.870001,-4.310854,1175
Walker Street,Glasgow,55.870291,-4.302704,1176
Benalder St,Glasgow,55.870139,-4.300661,1177
Ferry Road,Glasgow,55.8677,-4.301468,1178
Centurion Way,Glasgow,55.866712,-4.302074,1179
Old Dumbarton Road,Glasgow,55.868018,-4.296002,1180
Regent Moray St,Glasgow,55.868044,-4.291968,1181
Yorkhill St,Glasgow,55.866656,-4.293201,1182
Yorkhill St,Glasgow,55.867074,-4.293314,1183
Nairn Street,Glasgow,55.86621,-4.294435,1184
Kelvinhaugh St,Glasgow,55.863732,-4.295175,1185
Arthur Street,Glasgow,55.866642,-4.291536,1186
Blackie Street,Glasgow,55.866628,-4.290667,1187
Lymburn Street,Glasgow,55.866034,-4.289266,1188
St Vincent Cres,Glasgow,55.863884,-4.285047,1189
St Vincent Cres,Glasgow,55.864089,-4.287623,1190
Elliot St,Glasgow,55.861815,-4.2786,1191
Elliot St,Glasgow,55.860059,-4.274769,1192
Hydepark St,Glasgow,55.859838,-4.274554,1193
Paisley Road West,Glasgow,55.851462,-4.298292,1194
Paisley Road West,Glasgow,55.85365,-4.277697,1195
Abbot Street,Glasgow,55.831095,-4.280371,1196
Morrison Street,Glasgow,55.853756,-4.26733,1197
Nelson Street,Glasgow,55.85317,-4.262182,1198
Oxford Street,Glasgow,55.853209,-4.25579,1199
Brechin Street,Glasgow,55.864167,-4.281193,1200
Sandyford Place,Glasgow,55.865755,-4.278741,1201
Elderslie Street,Glasgow,55.864562,-4.275789,1202
Parkgrove Terrace,Glasgow,55.867349,-4.285854,1203
Park Gardens,Glasgow,55.867491,-4.279514,1204
Claremont Terrace,Glasgow,55.867393,-4.277162,1205
Elderslie Street,Glasgow,55.866793,-4.276374,1206
Woodside Crescent,Glasgow,55.867084,-4.272375,1207
Park Circus,Glasgow,55.869265,-4.278069,1208
Park Gate,Glasgow,55.869699,-4.279827,1209
Grant Street,Glasgow,55.869553,-4.270598,1210
Willowbank Street,Glasgow,55.870472,-4.275891,1211
Willowbank Crescent,Glasgow,55.871249,-4.276012,1212
Park Avenue,Glasgow,55.871698,-4.27817,1213
Eldon St,Glasgow,55.871944,-4.280141,1214
Park Road,Glasgow,55.872405,-4.280235,1215
Kersland Street,Glasgow,55.875853,-4.28951,1216
Great Western Road,Glasgow,55.877114,-4.287542,1217
Ruskin Terrace,Glasgow,55.876693,-4.28546,1218
Great Western Road,Glasgow,55.87283,-4.273926,1219
Great Western Road,Glasgow,55.872865,-4.273781,1220
Great Western Road,Glasgow,55.872599,-4.272977,1221
"Lansdowne Crescent
",Glasgow,55.874689,-4.276425,1222
North Woodside Road,Glasgow,55.87524,-4.277509,1223
St George's Place,Glasgow,55.871123,-4.268391,1224
St George's Road,Glasgow,55.872053,-4.26677,1225
Braid Street,Glasgow,55.872689,-4.26424,1226
Edington Street,Glasgow,55.872461,-4.25975,1227
North Canal Bank Street,Glasgow,55.873452,-4.246518,1228
Maitland Street,Glasgow,55.86879,-4.257343,1229
Wishart Street,Glasgow,55.865013,-4.230705,1230
Duke Street,Glasgow,55.85838,-4.219024,1231
Dalmarnock Road,Glasgow,55.848487,-4.226186,1232
London Road ,Glasgow,55.849507,-4.227553,1233
Bain Street,Glasgow,55.854408,-4.23562,1234
Greendyke Street,Glasgow,55.853678,-4.239414,1235
Moir Street,Glasgow,55.855449,-4.240993,1236
Richmond Street,Glasgow,55.861256,-4.242675,1237
Montrose Street,Glasgow,55.861967,-4.245153,1238
Cochrane Street,Glasgow,55.860506,-4.248441,1239
Albion Street,Glasgow,55.857774,-4.244629,1240
King Street,Glasgow,55.856593,-4.246473,1241
